Link Name,URL,Voting Active?
Individual Voting URL,https://atlas.aplusfcu.org/mlink/survey/NjY,FALSE
Group Voting URL,https://atlas.aplusfcu.org/mlink/survey/Njc,FALSE
Pumpkin Voting URL,https://atlas.aplusfcu.org/user/survey/68/show,FALSE
